riesgoso,normalized-losses,wheel-base,height,bore,stroke,peak-rpm,price,brand_int,fuel_gas,aspiration_int,body-style_int,drive-wheels-int,engine-location_int,engine-type_int,num-of-cilinders-int,fuel-system_int
no-riesgoso,169,88.6,48.8,3.47,2.68,5000,13495,0,1,0,0,76,0,0,4,0
no-riesgoso,169,88.6,48.8,3.47,2.68,5000,16500,0,1,0,0,76,0,0,4,0
no-riesgoso,126,94.5,52.4,2.68,3.47,5000,16500,0,1,0,1,76,0,1,6,0
no-riesgoso,164,99.8,54.3,3.19,3.4,5500,13950,1,1,0,2,120,0,2,4,0
no-riesgoso,164,99.4,54.3,3.19,3.4,5500,17450,1,1,0,2,9,0,2,5,0
no-riesgoso,125,99.8,53.1,3.19,3.4,5500,15250,1,1,0,2,120,0,2,5,0
no-riesgoso,158,105.8,55.7,3.19,3.4,5500,17710,1,1,0,2,120,0,2,5,0
no-riesgoso,126,105.8,55.7,3.19,3.4,5500,18920,1,1,0,3,120,0,2,5,0
no-riesgoso,158,105.8,55.9,3.13,3.4,5500,23875,1,1,1,2,120,0,2,5,0
riesgoso,108,99.5,52.0,3.13,3.4,5500,11472,1,1,1,1,9,0,2,5,0
no-riesgoso,192,101.2,54.3,3.5,2.8,5800,16430,2,1,0,2,76,0,2,4,0
riesgoso,192,101.2,54.3,3.5,2.8,5800,16925,2,1,0,2,76,0,2,4,0
riesgoso,188,101.2,54.3,3.31,3.19,4250,20970,2,1,0,2,76,0,2,6,0
riesgoso,188,101.2,54.3,3.31,3.19,4250,21105,2,1,0,2,76,0,2,6,0
no-riesgoso,126,103.5,55.7,3.31,3.19,4250,24565,2,1,0,2,76,0,2,6,0
riesgoso,108,103.5,55.7,3.62,3.39,5400,30760,2,1,0,2,76,0,2,6,0
riesgoso,108,103.5,53.7,3.62,3.39,5400,41315,2,1,0,2,76,0,2,6,0
riesgoso,108,110.0,56.3,3.62,3.39,5400,36880,2,1,0,2,76,0,2,6,0
no-riesgoso,121,88.4,53.2,2.91,3.03,5100,5151,3,1,0,1,120,0,3,3,1
no-riesgoso,98,94.5,52.0,3.03,3.11,5400,6295,3,1,0,1,120,0,2,4,1
riesgoso,81,94.5,52.0,3.03,3.11,5400,6575,3,1,0,2,120,0,2,4,1
no-riesgoso,118,93.7,50.8,2.97,3.23,5500,5572,4,1,0,1,120,0,2,4,1
no-riesgoso,118,93.7,50.8,2.97,3.23,5500,6377,4,1,0,1,120,0,2,4,1
no-riesgoso,118,93.7,50.8,3.03,3.39,5500,7957,4,1,1,1,120,0,2,4,0
no-riesgoso,148,93.7,50.6,2.97,3.23,5500,6229,4,1,0,1,120,0,2,4,1
no-riesgoso,148,93.7,50.6,2.97,3.23,5500,6692,4,1,0,2,120,0,2,4,1
no-riesgoso,148,93.7,50.6,2.97,3.23,5500,7609,4,1,0,2,120,0,2,4,1
no-riesgoso,148,93.7,50.6,3.03,3.39,5500,8558,4,1,1,2,120,0,2,4,0
riesgoso,110,103.3,59.8,3.34,3.46,5000,8921,4,1,0,3,120,0,2,4,1
no-riesgoso,145,95.9,50.2,3.6,3.9,5000,12964,4,1,1,1,120,0,2,4,2
no-riesgoso,137,86.6,50.8,2.91,3.41,4800,6479,5,1,0,1,120,0,2,4,3
no-riesgoso,137,86.6,50.8,2.91,3.41,6000,6855,5,1,0,1,120,0,2,4,3
no-riesgoso,101,93.7,52.6,2.91,3.07,5500,5399,5,1,0,1,120,0,2,4,3
no-riesgoso,101,93.7,52.6,2.91,3.41,6000,6529,5,1,0,1,120,0,2,4,3
no-riesgoso,101,93.7,52.6,2.91,3.41,6000,7129,5,1,0,1,120,0,2,4,3
riesgoso,110,96.5,54.5,2.91,3.41,6000,7295,5,1,0,2,120,0,2,4,3
riesgoso,78,96.5,58.3,2.92,3.41,6000,7295,5,1,0,3,120,0,2,4,3
riesgoso,106,96.5,53.3,3.15,3.58,5800,7895,5,1,0,1,120,0,2,4,3
riesgoso,106,96.5,53.3,3.15,3.58,5800,9095,5,1,0,1,120,0,2,4,3
riesgoso,85,96.5,54.1,3.15,3.58,5800,8845,5,1,0,2,120,0,2,4,3
riesgoso,85,96.5,54.1,3.15,3.58,5800,10295,5,1,0,2,120,0,2,4,3
riesgoso,85,96.5,54.1,3.15,3.58,5800,12945,5,1,0,2,120,0,2,4,0
no-riesgoso,107,96.5,51.0,3.15,3.58,5500,10345,5,1,0,2,120,0,2,4,1
riesgoso,108,94.3,53.5,3.31,3.23,4800,6785,6,1,0,2,76,0,2,4,1
no-riesgoso,126,94.5,52.0,3.03,3.11,5400,7117,6,1,0,2,120,0,2,4,1
riesgoso,108,94.5,52.0,3.03,3.11,5400,11472,6,1,0,2,120,0,2,4,1
no-riesgoso,125,96.0,51.4,3.43,3.23,5000,11048,6,1,0,1,76,0,2,4,4
riesgoso,145,113.0,52.8,3.63,4.17,4750,32250,7,1,0,2,76,0,0,6,0
riesgoso,108,113.0,52.8,3.63,4.17,4750,35550,7,1,0,2,76,0,0,6,0
riesgoso,108,102.0,47.8,3.54,2.76,5000,36000,7,1,0,2,76,0,1,12,0
no-riesgoso,104,93.1,54.1,3.03,3.15,5000,5195,8,1,0,1,120,0,2,4,1
no-riesgoso,104,93.1,54.1,3.03,3.15,5000,6095,8,1,0,1,120,0,2,4,1
no-riesgoso,104,93.1,54.1,3.03,3.15,5000,6795,8,1,0,1,120,0,2,4,1
no-riesgoso,113,93.1,54.1,3.03,3.15,5000,6695,8,1,0,2,120,0,2,4,1
no-riesgoso,113,93.1,54.1,3.08,3.15,5000,7395,8,1,0,2,120,0,2,4,1
no-riesgoso,150,95.3,49.6,3.4738095238095235,3.305,6000,10945,8,1,0,1,76,0,4,2,5
no-riesgoso,150,95.3,49.6,3.4738095238095235,3.305,6000,11845,8,1,0,1,76,0,4,2,5
no-riesgoso,150,95.3,49.6,3.4738095238095235,3.305,6000,13645,8,1,0,1,76,0,4,2,5
no-riesgoso,150,95.3,49.6,3.4738095238095235,3.305,6000,15645,8,1,0,1,76,0,4,2,0
no-riesgoso,129,98.8,53.7,3.39,3.39,4800,8845,8,1,0,1,120,0,2,4,1
riesgoso,115,98.8,55.5,3.39,3.39,4800,8495,8,1,0,2,120,0,2,4,1
no-riesgoso,129,98.8,53.7,3.39,3.39,4800,10595,8,1,0,1,120,0,2,4,1
riesgoso,115,98.8,55.5,3.39,3.39,4800,10245,8,1,0,2,120,0,2,4,1
riesgoso,108,98.8,55.5,3.39,3.39,4650,10795,8,0,0,2,120,0,2,4,6
riesgoso,115,98.8,55.5,3.39,3.39,4800,11245,8,1,0,1,120,0,2,4,1
riesgoso,118,104.9,54.4,3.76,3.16,5000,18280,8,1,0,2,76,0,2,4,0
riesgoso,108,104.9,54.4,3.43,3.64,4200,18344,8,0,0,2,76,0,2,4,6
riesgoso,93,110.0,56.5,3.58,3.64,4350,25552,9,0,1,2,76,0,2,5,6
riesgoso,93,110.0,58.7,3.58,3.64,4350,28248,9,0,1,3,76,0,2,5,6
riesgoso,93,106.7,54.9,3.58,3.64,4350,28176,9,0,1,4,76,0,2,5,6
riesgoso,93,115.6,56.3,3.58,3.64,4350,31600,9,0,1,2,76,0,2,5,6
riesgoso,83,115.6,56.5,3.46,3.1,4750,34184,9,1,0,2,76,0,1,8,0
no-riesgoso,142,96.6,50.8,3.46,3.1,4750,35056,9,1,0,0,76,0,1,8,0
riesgoso,108,120.9,56.7,3.8,3.35,4500,40960,9,1,0,2,76,0,1,8,0
no-riesgoso,126,112.0,55.4,3.8,3.35,4500,45400,9,1,0,4,76,0,1,8,0
no-riesgoso,126,102.7,54.8,3.78,3.12,5000,16503,10,1,1,1,76,0,2,4,0
no-riesgoso,161,93.7,50.8,2.97,3.23,5500,5389,11,1,0,1,120,0,2,4,1
no-riesgoso,161,93.7,50.8,2.97,3.23,5500,6189,11,1,0,1,120,0,2,4,1
no-riesgoso,161,93.7,50.8,2.97,3.23,5500,6669,11,1,0,1,120,0,2,4,1
no-riesgoso,161,93.0,50.8,3.03,3.39,5500,7689,11,1,1,1,120,0,2,4,7
no-riesgoso,153,96.3,49.4,3.17,3.46,5500,9959,11,1,1,1,120,0,2,4,7
