,riesgoso,normalized-losses,wheel-base,height,bore,stroke,peak-rpm,price,brand_int,fuel_gas,aspiration_int,body-style_int,drive-wheels-int,engine-location_int,engine-type_int,num-of-cilinders-int,fuel-system_int
0,0,169,88.6,48.8,3.47,2.68,5000,13495,0,1,0,0,76,0,0,4,0
1,0,169,88.6,48.8,3.47,2.68,5000,16500,0,1,0,0,76,0,0,4,0
2,0,126,94.5,52.4,2.68,3.47,5000,16500,0,1,0,1,76,0,1,6,0
3,0,164,99.8,54.3,3.19,3.4,5500,13950,1,1,0,2,120,0,2,4,0
4,0,164,99.4,54.3,3.19,3.4,5500,17450,1,1,0,2,9,0,2,5,0
5,0,125,99.8,53.1,3.19,3.4,5500,15250,1,1,0,2,120,0,2,5,0
6,0,158,105.8,55.7,3.19,3.4,5500,17710,1,1,0,2,120,0,2,5,0
7,0,126,105.8,55.7,3.19,3.4,5500,18920,1,1,0,3,120,0,2,5,0
8,0,158,105.8,55.9,3.13,3.4,5500,23875,1,1,1,2,120,0,2,5,0
9,1,108,99.5,52.0,3.13,3.4,5500,11472,1,1,1,1,9,0,2,5,0
10,0,192,101.2,54.3,3.5,2.8,5800,16430,2,1,0,2,76,0,2,4,0
11,1,192,101.2,54.3,3.5,2.8,5800,16925,2,1,0,2,76,0,2,4,0
12,1,188,101.2,54.3,3.31,3.19,4250,20970,2,1,0,2,76,0,2,6,0
13,1,188,101.2,54.3,3.31,3.19,4250,21105,2,1,0,2,76,0,2,6,0
14,0,126,103.5,55.7,3.31,3.19,4250,24565,2,1,0,2,76,0,2,6,0
15,1,108,103.5,55.7,3.62,3.39,5400,30760,2,1,0,2,76,0,2,6,0
16,1,108,103.5,53.7,3.62,3.39,5400,41315,2,1,0,2,76,0,2,6,0
17,1,108,110.0,56.3,3.62,3.39,5400,36880,2,1,0,2,76,0,2,6,0
18,0,121,88.4,53.2,2.91,3.03,5100,5151,3,1,0,1,120,0,3,3,1
19,0,98,94.5,52.0,3.03,3.11,5400,6295,3,1,0,1,120,0,2,4,1
20,1,81,94.5,52.0,3.03,3.11,5400,6575,3,1,0,2,120,0,2,4,1
21,0,118,93.7,50.8,2.97,3.23,5500,5572,4,1,0,1,120,0,2,4,1
22,0,118,93.7,50.8,2.97,3.23,5500,6377,4,1,0,1,120,0,2,4,1
23,0,118,93.7,50.8,3.03,3.39,5500,7957,4,1,1,1,120,0,2,4,0
24,0,148,93.7,50.6,2.97,3.23,5500,6229,4,1,0,1,120,0,2,4,1
25,0,148,93.7,50.6,2.97,3.23,5500,6692,4,1,0,2,120,0,2,4,1
26,0,148,93.7,50.6,2.97,3.23,5500,7609,4,1,0,2,120,0,2,4,1
27,0,148,93.7,50.6,3.03,3.39,5500,8558,4,1,1,2,120,0,2,4,0
28,1,110,103.3,59.8,3.34,3.46,5000,8921,4,1,0,3,120,0,2,4,1
29,0,145,95.9,50.2,3.6,3.9,5000,12964,4,1,1,1,120,0,2,4,2
30,0,137,86.6,50.8,2.91,3.41,4800,6479,5,1,0,1,120,0,2,4,3
31,0,137,86.6,50.8,2.91,3.41,6000,6855,5,1,0,1,120,0,2,4,3
32,0,101,93.7,52.6,2.91,3.07,5500,5399,5,1,0,1,120,0,2,4,3
33,0,101,93.7,52.6,2.91,3.41,6000,6529,5,1,0,1,120,0,2,4,3
34,0,101,93.7,52.6,2.91,3.41,6000,7129,5,1,0,1,120,0,2,4,3
35,1,110,96.5,54.5,2.91,3.41,6000,7295,5,1,0,2,120,0,2,4,3
36,1,78,96.5,58.3,2.92,3.41,6000,7295,5,1,0,3,120,0,2,4,3
37,1,106,96.5,53.3,3.15,3.58,5800,7895,5,1,0,1,120,0,2,4,3
38,1,106,96.5,53.3,3.15,3.58,5800,9095,5,1,0,1,120,0,2,4,3
39,1,85,96.5,54.1,3.15,3.58,5800,8845,5,1,0,2,120,0,2,4,3
40,1,85,96.5,54.1,3.15,3.58,5800,10295,5,1,0,2,120,0,2,4,3
41,1,85,96.5,54.1,3.15,3.58,5800,12945,5,1,0,2,120,0,2,4,0
42,0,107,96.5,51.0,3.15,3.58,5500,10345,5,1,0,2,120,0,2,4,1
43,1,108,94.3,53.5,3.31,3.23,4800,6785,6,1,0,2,76,0,2,4,1
44,0,126,94.5,52.0,3.03,3.11,5400,7117,6,1,0,2,120,0,2,4,1
45,1,108,94.5,52.0,3.03,3.11,5400,11472,6,1,0,2,120,0,2,4,1
46,0,125,96.0,51.4,3.43,3.23,5000,11048,6,1,0,1,76,0,2,4,4
47,1,145,113.0,52.8,3.63,4.17,4750,32250,7,1,0,2,76,0,0,6,0
48,1,108,113.0,52.8,3.63,4.17,4750,35550,7,1,0,2,76,0,0,6,0
49,1,108,102.0,47.8,3.54,2.76,5000,36000,7,1,0,2,76,0,1,12,0
50,0,104,93.1,54.1,3.03,3.15,5000,5195,8,1,0,1,120,0,2,4,1
51,0,104,93.1,54.1,3.03,3.15,5000,6095,8,1,0,1,120,0,2,4,1
52,0,104,93.1,54.1,3.03,3.15,5000,6795,8,1,0,1,120,0,2,4,1
53,0,113,93.1,54.1,3.03,3.15,5000,6695,8,1,0,2,120,0,2,4,1
54,0,113,93.1,54.1,3.08,3.15,5000,7395,8,1,0,2,120,0,2,4,1
55,0,150,95.3,49.6,3.4738095238095235,3.305,6000,10945,8,1,0,1,76,0,4,2,5
56,0,150,95.3,49.6,3.4738095238095235,3.305,6000,11845,8,1,0,1,76,0,4,2,5
57,0,150,95.3,49.6,3.4738095238095235,3.305,6000,13645,8,1,0,1,76,0,4,2,5
58,0,150,95.3,49.6,3.4738095238095235,3.305,6000,15645,8,1,0,1,76,0,4,2,0
59,0,129,98.8,53.7,3.39,3.39,4800,8845,8,1,0,1,120,0,2,4,1
60,1,115,98.8,55.5,3.39,3.39,4800,8495,8,1,0,2,120,0,2,4,1
61,0,129,98.8,53.7,3.39,3.39,4800,10595,8,1,0,1,120,0,2,4,1
62,1,115,98.8,55.5,3.39,3.39,4800,10245,8,1,0,2,120,0,2,4,1
63,1,108,98.8,55.5,3.39,3.39,4650,10795,8,0,0,2,120,0,2,4,6
64,1,115,98.8,55.5,3.39,3.39,4800,11245,8,1,0,1,120,0,2,4,1
65,1,118,104.9,54.4,3.76,3.16,5000,18280,8,1,0,2,76,0,2,4,0
66,1,108,104.9,54.4,3.43,3.64,4200,18344,8,0,0,2,76,0,2,4,6
67,1,93,110.0,56.5,3.58,3.64,4350,25552,9,0,1,2,76,0,2,5,6
68,1,93,110.0,58.7,3.58,3.64,4350,28248,9,0,1,3,76,0,2,5,6
